Episode,Pieces,WallHits,Reward,FixedUpdateCount
1065,0,3,-0.6,1065000
1066,0,0,0,1066000
1067,0,0,0,1067000
1068,0,0,0,1068000
1069,0,0,0,1069000
1070,0,0,0,1070000
1071,0,0,0,1071000
1072,0,0,0,1072000
1073,0,1,-0.2,1073000
1074,0,3,-0.6,1074000
1075,0,0,0,1075000
1076,0,0,0,1076000
1077,0,0,0,1077000
1078,0,0,0,1078000
1079,0,0,0,1079000
1080,0,6,-1.2,1080000
1081,0,0,0,1081000
1082,0,0,0,1082000
1083,0,0,0,1083000
1084,0,0,0,1084000
1085,1,0,1,1085000
1086,0,0,0,1086000
1087,0,5,-1,1087000
1088,0,0,0,1088000
1089,0,0,0,1089000
1090,0,0,0,1090000
1091,-1,10,-3,1091000
1092,0,0,0,1092000
1093,0,1,-0.2,1093000
1094,0,0,0,1094000
1095,0,0,0,1095000
1096,0,0,0,1096000
1097,0,0,0,1097000
1098,0,0,0,1098000
1099,0,0,0,1099000
1100,0,0,0,1100000
1101,0,0,0,1101000
1102,0,0,0,1102000
1103,0,5,-1,1103000
1104,0,0,0,1104000
1105,0,0,0,1105000
1106,-1,5,-2,1106000
1107,0,0,0,1107000
1108,0,0,0,1108000
1109,0,0,0,1109000
1110,0,0,0,1110000
1111,0,0,0,1111000
1112,0,0,0,1112000
1113,0,0,0,1113000
1114,0,0,0,1114000
1115,0,0,0,1115000
1116,0,0,0,1116000
